label,referenceUrl,url,clickSelector,hoverSelector
Kriya Yoga / English,https://yssofindia.org/yss-lessons,https://test.yssofindia.org/yss-lessons?4444,"#applynow",""
PT India 25 / English,https://yssofindia.org/event/presidents-india-tour,https://test.yssofindia.org/event/presidents-india-tour?4444,"",".elementor-size-md"
